Tickersymbol,Company
AAPL,Apple Inc.
AZO,AutoZone Inc
BAC,Bank of America Corp
BLK,BlackRock
BA,Boeing Company
BP,BP plc
CVX,Chevron Corp.
CMG,Chipotle Mexican Grill
CSCO,Cisco Systems
C,Citigroup Inc.
KO,The Coca Cola Company
ESV,Ensco plc
XOM,Exxon Mobil Corp.
GE,General Electric
GOOG,Google Inc.
HP,Helmerich & Payne
HPQ,Hewlett-Packard
HMC,Honda Motor
IBM,International Bus. Machines
INTC,Intel Corp.
ISRG,Intuitive Surgical Inc.
JCP,J.C.Penney
JNJ,Johnson & Johnson
JPM,JPMorgan Chase & Co.
KBH,KB Home
LOW,Lowe's Cos.
MGA,Magna Inter.
MCD,McDonald's Corp.
MSFT,Microsoft
NFLX,NetFlix Inc.
NVDA,Nvidia Corporation
PEP,PepsiCo Inc.
PBR,Petr
PCLN,Priceline.com Inc
TSO,Tesoro Petroleum Co.
TM,Toyota Motor
WMT,Wal-Mart Stores
DIS,The Walt Disney Company
WFC,Wells Fargo
YHOO,Yahoo Inc.
